,,,,,,,,,,,,,,,
Date,Day,High / Low,High / Low,Start Point,End point,ADR Model,Broken/Intact ADR,ODR Model,Broken/Intact ODR,RDR Model,Srart Point with session,End Point with session,Model Combinations,,
19/02/2019,Tuesday,High ODR,Low TRN,Zero Min Green,Min Med Red,DXP,Broken,UXP,Broken,DX,ODR Zero Min Green,TRN Min Med Red,DXP - UXP - DX,,
20/02/2019,Wednesday,Low TRN,High RDR,Min Med Red,Med Max Green,RC,Broken,UXP,Broken,RX,TRN Min Med Red,RDR Med Max Green,RC - UXP - RX,,
21/02/2019,Thursday,High ODR,Low RDR,Min Med Green,Min Med Red,UXP,Broken,RC,Intact,DXP,ODR Min Med Green,RDR Min Med Red,UXP - RC - DXP,,
22/02/2019,Friday,Low ODR,High ODR,Min Med Red,Min Med Green,DX,Intact,UXP,Intact,UXP,ODR Min Med Red,ODR Min Med Green,DX - UXP - UXP,,
25/02/2019,Monday,High ODR,Low RDR,Min Med Green,Min Med Red,RC,Broken,DXP,Intact,DXP,ODR Min Med Green,RDR Min Med Red,RC - DXP - DXP,,
26/02/2019,Tuesday,Low ODR,High RDR,Zero Min Red,Min Med Green,DXP,Broken,DXP,Broken,UXP,ODR Zero Min Red,RDR Min Med Green,DXP - DXP - UXP,,
27/02/2019,Wednesday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,DXP,Intact,UXP,ODR Zero Min Red,RDR Med Max Green,UXP - DXP - UXP,,
28/02/2019,Thursday,Low ODR,High RDR,Min Med Red,Med Max Green,UXP,Broken,DXP,Broken,U,ODR Min Med Red,RDR Med Max Green,UXP - DXP - U,,
01/03/2019,Friday,High ODR,Low RDR,Zero Min Green,Max+ Red,UXP,Broken,UXP,Intact,DXP,ODR Zero Min Green,RDR Max+ Red,UXP - UXP - DXP,,
04/03/2019,Monday,Low ODR,High RDR,Min Med Red,Min Med Green,DXP,Broken,RX,Broken,UXP,ODR Min Med Red,RDR Min Med Green,DXP - RX - UXP,,
05/03/2019,Tuesday,Low ODR,High TRN,Zero Min Red,Min Med Green,DXP,Broken,D,Broken,UXP,ODR Zero Min Red,TRN Min Med Green,DXP - D - UXP,,
06/03/2019,Wednesday,Low RDR,High RDR,Min Med Red,Min Med Green,DXP,Broken,RX,Broken,D,RDR Min Med Red,RDR Min Med Green,DXP - RX - D,,
07/03/2019,Thursday,High ODR,Low RDR,Zero Min Red,Min Med Green,UX,Broken,UX,Broken,U,ODR Zero Min Red,RDR Min Med Green,UX - UX - U,,
08/03/2019,Friday,High ODR,Low RDR,Zero Min Green,Med Max Red,RC,Intact,DXP,Broken,DXP,ODR Zero Min Green,RDR Med Max Red,RC - DXP - DXP,,
11/03/2019,Monday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Intact,UXP,Broken,UXP,ODR Zero Min Red,RDR Med Max Green,UXP - UXP - UXP,,
12/03/2019,Tuesday,High RDR,Low RDR,Zero Min Green,Min Med Red,UXP,Broken,U,Broken,UXP,RDR Zero Min Green,RDR Min Med Red,UXP - U - UXP,,
